"Image Optimiser to optimise media images","Image Optimiser to optimise media images"
"Please select","Please select"
CMS,CMS
Product,Product
Category,Category
Resmush,Resmush
Imageoptim,Imageoptim
Kraken,Kraken
"Unable to find provider information terminating the process","Unable to find provider information terminating the process"
"Unable to create meta file terminating the process","Unable to create meta file terminating the process"
"'Unable to retrieve from resmush api -> ' . . ' error -> ' .","'Unable to retrieve from resmush api -> ' . . ' error -> ' ."
"'Unable to retrieve from krakenIo api -> ' .","'Unable to retrieve from krakenIo api -> ' ."
"'Unable to retrieve from krakenIo api -> ' . . ' error -> ' .","'Unable to retrieve from krakenIo api -> ' . . ' error -> ' ."
"'Unable to retrieve from imageoptim api -> ' . . ' error -> ' .","'Unable to retrieve from imageoptim api -> ' . . ' error -> ' ."
"'Unable to save -> ' . . ' error -> ' .","'Unable to save -> ' . . ' error -> ' ."
"Scommerce Configuration","Scommerce Configuration"
"Image Optimiser","Image Optimiser"
General,General
Enabled,Enabled
"Compress Images while uploading","Compress Images while uploading"
"This setting will be used to enable compression for new images as soon as they are uploaded via Magento admin","This setting will be used to enable compression for new images as soon as they are uploaded via Magento admin"
"Number of images to processed","Number of images to processed"
"This setting will be used to define how many number of images you want to process when the cron job runs. <strong>Please note
                        this number should be reasonable especially when you have multiple stores and many additional
                        product images</strong>","This setting will be used to define how many number of images you want to process when the cron job runs. <strong>Please note
                        this number should be reasonable especially when you have multiple stores and many additional
                        product images</strong>"
"Include folders","Include folders"
"This setting will be used to include list of folders you want to include for compressing the images","This setting will be used to include list of folders you want to include for compressing the images"
"Compress Cached Product Images","Compress Cached Product Images"
"This setting will be used to further compress cached product images generated by Magento.
                        <strong>We would recommend to leave this setting turned off especially when you clear your cached images
                        frequently and you have more than 5 additional images on the product page.</strong>","This setting will be used to further compress cached product images generated by Magento.
                        <strong>We would recommend to leave this setting turned off especially when you clear your cached images
                        frequently and you have more than 5 additional images on the product page.</strong>"
"Image Compression Provider","Image Compression Provider"
"This setting will be used to define which image compression provider should be used","This setting will be used to define which image compression provider should be used"
"Provider API URL","Provider API URL"
"This setting will be used to define API url for your image compression provider as shown below <br/>Resmush.it - <strong>http://api.resmush.it/ws.php?img=</strong> <br/>ImageOptim - <strong>https://im2.io/{{username}}/full/</strong> <br/>Kraken.io - <strong>https://api.kraken.io/v1/url</strong>","This setting will be used to define API url for your image compression provider as shown below <br/>Resmush.it - <strong>http://api.resmush.it/ws.php?img=</strong> <br/>ImageOptim - <strong>https://im2.io/{{username}}/full/</strong> <br/>Kraken.io - <strong>https://api.kraken.io/v1/url</strong>"
"API Key","API Key"
"API Key (This setting will be required for certain providers like <a href=""https://kraken.io/"" target=""_blank"">Kraken.io</a>)","API Key (This setting will be required for certain providers like <a href=""https://kraken.io/"" target=""_blank"">Kraken.io</a>)"
"API Secret Key","API Secret Key"
"This setting will be required for certain providers like <a href=""https://kraken.io/"" target=""_blank"">Kraken.io</a>","This setting will be required for certain providers like <a href=""https://kraken.io/"" target=""_blank"">Kraken.io</a>"
"Exclude folders","Exclude folders"
"This setting will be used to exclude list of folders you want to exclude for compressing the images from media directory (comma separated) <br/><strong>for example foldername1, foldername2, /foldername/subfolder1, foldername/subfolder2</strong>","This setting will be used to exclude list of folders you want to exclude for compressing the images from media directory (comma separated) <br/><strong>for example foldername1, foldername2, /foldername/subfolder1, foldername/subfolder2</strong>"
"Backup Images","Backup Images"
"This setting will be used to enable backup original images before compression","This setting will be used to enable backup original images before compression"
Debugging,Debugging
"This setting will be used to log information to the log file under <strong>/var/log/image_optimiser-yyyymmdd.log</strong>","This setting will be used to log information to the log file under <strong>/var/log/image_optimiser-yyyymmdd.log</strong>"
"Image Optimiser Schedule","Image Optimiser Schedule"
"This setting will be used to allow you to define schedule how often you
want to optimise images
 
<pre>
* * * * *
| | | | |
| | | | +---- Day of the Week   (range: 1-7, 1 standing for Monday)
| | | +------ Month of the Year (range: 1-12)
| | +-------- Day of the Month  (range: 1-31)
| +---------- Hour              (range: 0-23)
+------------ Minute            (range: 0-59)
Example: 0 0 * * * Daily at midnight
</pre>","This setting will be used to allow you to define schedule how often you
want to optimise images
 
<pre>
* * * * *
| | | | |
| | | | +---- Day of the Week   (range: 1-7, 1 standing for Monday)
| | | +------ Month of the Year (range: 1-12)
| | +-------- Day of the Month  (range: 1-31)
| +---------- Hour              (range: 0-23)
+------------ Minute            (range: 0-59)
Example: 0 0 * * * Daily at midnight
</pre>"
