"Scommerce Configuration","Scommerce Configuration"
"Speed Optimiser","Speed Optimiser"
General,General
Enabled,Enabled
"This setting will be used to enable or disable module","This setting will be used to enable or disable module"
Settings,Settings
HTML,HTML
"With 'Yes/No’ options to enable/disable the module. If set to 'Yes' then the module will remove all the unnecessary comments, line breaks, tabs and spaces from your HTML to reduce its size.","With 'Yes/No’ options to enable/disable the module. If set to 'Yes' then the module will remove all the unnecessary comments, line breaks, tabs and spaces from your HTML to reduce its size."
"JavaScript Settings","JavaScript Settings"
"Merge JavaScript Files","Merge JavaScript Files"
"With 'Yes/No' options. If set to 'Yes' then it will merge all JS files into one to reduce the number of queries.","With 'Yes/No' options. If set to 'Yes' then it will merge all JS files into one to reduce the number of queries."
"Enable JavaScript Bundling","Enable JavaScript Bundling"
"With 'Yes/No' options. If 'Yes' then it will combine all JS files into few bundles and download them for each page. This will save time by reducing the number of server requests.","With 'Yes/No' options. If 'Yes' then it will combine all JS files into few bundles and download them for each page. This will save time by reducing the number of server requests."
"JavaScript Files Minification","JavaScript Files Minification"
"If set to 'Yes' then the module will remove all the unnecessary comments, line breaks, tabs and spaces from your Java Script to reduce its size.","If set to 'Yes' then the module will remove all the unnecessary comments, line breaks, tabs and spaces from your Java Script to reduce its size."
"Move JavaScript To Page Bottom (footer)","Move JavaScript To Page Bottom (footer)"
"If this is enabled then it will load all the important content before loading JS which will improve pages loading time.","If this is enabled then it will load all the important content before loading JS which will improve pages loading time."
"CSS Settings","CSS Settings"
"Merge CSS Files","Merge CSS Files"
"With 'Yes/No' options. If set to 'Yes' then it will merge all CSS files into one to reduce the number of queries.","With 'Yes/No' options. If set to 'Yes' then it will merge all CSS files into one to reduce the number of queries."
"CSS Files Minification","CSS Files Minification"
"With 'Yes/No' options. If set to 'Yes' then the module will remove all the unnecessary comments, line breaks, tabs and spaces from your CSS to reduce its size.","With 'Yes/No' options. If set to 'Yes' then the module will remove all the unnecessary comments, line breaks, tabs and spaces from your CSS to reduce its size."
"Defer Fonts Loading","Defer Fonts Loading"
"With 'Yes/No' options. If set to 'Yes' then browser will load the page with system fonts and replace them with your fonts when they are loaded. It makes store pages load faster.","With 'Yes/No' options. If set to 'Yes' then browser will load the page with system fonts and replace them with your fonts when they are loaded. It makes store pages load faster."
"Flat Tables","Flat Tables"
"Use Flat Catalog Category","Use Flat Catalog Category"
"With 'Yes/No' options. If set to 'Yes' then it will short the query in the database. The shorter the query, the better the store performance. Pays off for large stores with massive databases.","With 'Yes/No' options. If set to 'Yes' then it will short the query in the database. The shorter the query, the better the store performance. Pays off for large stores with massive databases."
"Use Flat Catalog Product","Use Flat Catalog Product"
"With 'Yes/No' options. If set to ‘Yes’ then it will short the query in the database.","With 'Yes/No' options. If set to ‘Yes’ then it will short the query in the database."
